inspection_job_id,job_id_interdata,job_progress_interdata,house_number_interdata,street_name_interdata,address_interdata,zip_code_interdata,latitude_interdata,longitude_interdata,result_interdata,approved_date_interdata,nta_interdata,name,country,country_code,state,county,city,postcode,district,suburb,street,housenumber,iso3166_2,lon,lat,state_code,formatted,address_line1,address_line2,categories,details,datasource,website,contact,catering,distance,place_id,geo_lon,geo_lat,opening_hours,description,commercial,facilities,brand,brand_details,quarter,building,name_other
Treatments,PC8488952,7,584,Myrtle Avenue,584 Myrtle Avenue,11205.0,40.693974625602,-73.961259324748,Bait applied,2026-03-02T13:36:26.000,Clinton Hill,The Emerson,United States,us,New York,Kings County,New York,11205,,Brooklyn,Myrtle Avenue,561,US-NY,-73.9618019,40.6940535,NY,"The Emerson, 561 Myrtle Avenue, New York, NY 11205, United States of America",The Emerson,"561 Myrtle Avenue, New York, NY 11205, United States of America","['catering', 'catering.bar']","['details.catering', 'details.facilities']","{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': 'The Emerson', 'sport': 'billiards', 'osm_id': 9583805198, 'amenity': 'bar', 'osm_type': 'n', 'drink:beer': 'draught', 'outdoor_seating': 'garden;street'}}",,,,47.0,51c26e8e298e7d52c05957dabebed6584440f00103f9010e433d3b0200000092030b54686520456d6572736f6e,-73.96180189999998,40.69405350035657,,,,{'outdoor_seating': True},,,,,
Treatments,PC8488952,7,584,Myrtle Avenue,584 Myrtle Avenue,11205.0,40.693974625602,-73.961259324748,Bait applied,2026-03-02T13:36:26.000,Clinton Hill,Kingston Bakery Brooklyn,United States,us,New York,Kings County,New York,11205,,Brooklyn,Myrtle Avenue,585,US-NY,-73.9607348,40.6941607,NY,"Kingston Bakery Brooklyn, 585 Myrtle Avenue, New York, NY 11205, United States of America",Kingston Bakery Brooklyn,"585 Myrtle Avenue, New York, NY 11205, United States of America","['catering', 'catering.fast_food']","['details.catering', 'details.contact']","{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': 'Kingston Bakery Brooklyn', 'phone': '+1-347-406-9555', 'osm_id': 9583753112, 'amenity': 'fast_food', 'cuisine': 'jamaican', 'osm_type': 'n'}}",,{'phone': '+1-347-406-9555'},{'cuisine': 'jamaican'},49.0,514388d0ad7c7d52c05998190142da584440f00103f90198773c3b020000009203184b696e6773746f6e2042616b6572792042726f6f6b6c796e,-73.9607348,40.694160700356576,,,,,,,,,
Initial,PC8674284,1,216,Ft Washington Avenue,216 Ft Washington Avenue,10032.0,40.842564909726,-73.942096615289,Failed for Rat Act,2026-03-03T10:19:19.000,Washington Heights (South),Subway,United States,us,New York,New York County,New York,10032,Manhattan Community Board 12,Manhattan,West 169th Street,651,US-NY,-73.9418371,40.8428747,NY,"Subway, 651 West 169th Street, New York, NY 10032, United States of America",Subway,"651 West 169th Street, New York, NY 10032, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.sandwich']","['details', 'details.catering', 'details.facilities']","{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': 'Subway', 'brand': 'Subway', 'osm_id': 11963599309, 'amenity': 'fast_food', 'cuisine': 'sandwich', 'osm_type': 'n', 'takeaway': 'yes', 'addr:city': 'New York', 'addr:state': 'NY', 'addr:street': 'West 169th Street', 'addr:postcode': 10032, 'drive_through': 'no', 'opening_hours': '24/7', 'brand:wikidata': 'Q244457', 'addr:housenumber': 651}}",,,{'cuisine': 'sandwich'},41.0,5135aa1d0f477c52c059d45d7451e36b4440f00103f901cd0916c902000000920306537562776179,-73.9418371,40.84287470037421,24/7,,,{'takeaway': True},Subway,{'wikidata': 'Q244457'},Washington Heights,,
Treatments,PC8589278,4,1327,Leland Avenue,1327 Leland Avenue,10472.0,40.833270916468,-73.863763047412,Bait applied,2026-03-04T14:29:15.000,Soundview-Bruckner-Bronx River,Subway,United States,us,New York,Bronx County,New York,10472,,The Bronx,Westchester Avenue,1885,US-NY,-73.8632252,40.8330935,NY,"Subway, 1885 Westchester Avenue, New York, NY 10472, United States of America",Subway,"1885 Westchester Avenue, New York, NY 10472, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.sandwich']","['details', 'details.catering', 'details.contact', 'details.facilities']","{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': 'Subway', 'brand': 'Subway', 'phone': '+1 718-684-1975', 'osm_id': 4015185756, 'amenity': 'fast_food', 'cuisine': 'sandwich', 'website': 'https://restaurants.subway.com/united-states/ny/bronx/1885-westchester-ave', 'osm_type': 'n', 'takeaway': 'yes', 'addr:city': 'Bronx', 'addr:state': 'NY', 'addr:street': 'Westchester Avenue', 'addr:postcode': 10472, 'brand:wikidata': 'Q244457', 'addr:housenumber': 1885}}",https://restaurants.subway.com/united-states/ny/bronx/1885-westchester-ave,{'phone': '+1 718-684-1975'},{'cuisine': 'sandwich'},49.0,5150c5e8143f7752c059664ecdcea26a4440f00103f9015cdf52ef00000000920306537562776179,-73.86322519999999,40.83309350037307,,,,{'takeaway': True},Subway,{'wikidata': 'Q244457'},,,
Treatments,PC8569854,4,5123,7 Avenue,5123 7 Avenue,11220.0,40.64170120424,-74.006666097364,Bait applied,2026-03-02T14:16:28.000,Sunset Park (Central),Melonpanna x Libra Cake,United States,us,New York,Kings County,New York,11220,Sunset Park,Brooklyn,7th Avenue,5105,US-NY,-74.0064868,40.6415953,NY,"Melonpanna x Libra Cake, 5105 7th Avenue, New York, NY 11220, United States of America",Melonpanna x Libra Cake,"5105 7th Avenue, New York, NY 11220, United States of America","['building', 'building.commercial', 'commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.bakery']",['details.building'],"{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': 'Melonpanna x Libra Cake', 'shop': 'bakery', 'height': 11.2, 'osm_id': 249572507, 'building': 'yes', 'osm_type': 'w', 'addr:street': '7th Avenue', 'addr:postcode': 11220, 'addr:housenumber': 5105}}",,,,11.0,51243c7f476a8052c059f4c20ccb1f524440f00102f9019b2ce00e000000009203174d656c6f6e70616e6e612078204c696272612043616b65,-74.00648677277837,40.64159525035021,,,{'type': 'bakery'},,,,,{'height': 11.2},
Treatments,PC8618396,4,91,North    4 Street,91 North    4 Street,11249.0,40.71733540614,-73.961368345498,Bait applied,2026-03-03T12:29:03.000,Williamsburg,Di Fara,United States,us,New York,Kings County,New York,11249,,Brooklyn,North 3rd Street,103,US-NY,-73.9617981,40.7170794,NY,"Di Fara, 103 North 3rd Street, New York, NY 11249, United States of America",Di Fara,"103 North 3rd Street, New York, NY 11249, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.pizza']","['details.catering', 'details.facilities']","{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': 'Di Fara', 'osm_id': 7091113349, 'amenity': 'fast_food', 'cuisine': 'pizza', 'smoking': 'no', 'delivery': 'yes', 'osm_type': 'n', 'drive_through': 'no', 'outdoor_seating': 'no'}}",,,{'cuisine': 'pizza'},46.0,51b6369e198e7d52c059de96fe41c95b4440f00103f90185cda9a60100000092030744692046617261,-73.96179809999998,40.71707940035934,,,,"{'smoking': False, 'outdoor_seating': False, 'delivery': True}",,,Williamsburg,,
Initial,PC8673422,1,43,Herbert Street,43 Herbert Street,11222.0,40.719798312868,-73.943552904644,Rat Activity,2026-03-03T08:39:33.000,East Williamsburg,BQE Wine & Liquors,United States,us,New York,Kings County,New York,11222,,Brooklyn,Meeker Avenue,504,US-NY,-73.9438884,40.7199974,NY,"BQE Wine & Liquors, 504 Meeker Avenue, New York, NY 11222, United States of America",BQE Wine & Liquors,"504 Meeker Avenue, New York, NY 11222, United States of America","['building', 'building.commercial', 'commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.drinks']","['details', 'details.building', 'details.contact']","{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': 'BQE Wine & Liquors', 'shop': 'alcohol', 'phone': '+1-718-389-3533', 'height': 7.3, 'osm_id': 279813052, 'website': 'https://www.bqewineandliquors.com/', 'building': 'yes', 'osm_type': 'w', 'addr:city': 'Brooklyn', 'addr:state': 'NY', 'addr:street': 'Meeker Avenue', 'addr:postcode': 11222, 'addr:housenumber': 504}}",https://www.bqewineandliquors.com/,{'phone': '+1-718-389-3533'},,29.0,510c8f07ab687c52c059fddff3df285c4440f00102f901bc9bad10000000009203124251452057696e652026204c6971756f7273,-73.94388843286669,40.719997400359695,,,{'type': 'alcohol'},,,,,{'height': 7.3},
Treatments,PC8578740,4,5119,7 Avenue,5119 7 Avenue,11220.0,40.641717673767,-74.006651685828,Bait applied,2026-03-02T14:16:04.000,Sunset Park (Central),Melonpanna x Libra Cake,United States,us,New York,Kings County,New York,11220,Sunset Park,Brooklyn,7th Avenue,5105,US-NY,-74.0064868,40.6415953,NY,"Melonpanna x Libra Cake, 5105 7th Avenue, New York, NY 11220, United States of America",Melonpanna x Libra Cake,"5105 7th Avenue, New York, NY 11220, United States of America","['building', 'building.commercial', 'commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.bakery']",['details.building'],"{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': 'Melonpanna x Libra Cake', 'shop': 'bakery', 'height': 11.2, 'osm_id': 249572507, 'building': 'yes', 'osm_type': 'w', 'addr:street': '7th Avenue', 'addr:postcode': 11220, 'addr:housenumber': 5105}}",,,,11.0,51243c7f476a8052c059f4c20ccb1f524440f00102f9019b2ce00e000000009203174d656c6f6e70616e6e612078204c696272612043616b65,-74.00648677277837,40.64159525035021,,,{'type': 'bakery'},,,,,{'height': 11.2},
Stoppage,PC8659083,1,2455,Grand Avenue,2455 Grand Avenue,10468.0,40.863217351909,-73.902964137929,Stoppage done,2026-03-02T13:37:32.000,University Heights (North)-Fordham,Chopped Cheese & Grill,United States,us,New York,Bronx County,New York,10468,,The Bronx,Grand Avenue,,US-NY,-73.9033421,40.862896,NY,"Chopped Cheese & Grill, Grand Avenue, New York, NY 10468, United States of America",Chopped Cheese & Grill,"Grand Avenue, New York, NY 10468, United States of America","['catering', 'catering.fast_food']",[],"{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': 'Chopped Cheese & Grill', 'osm_id': 10109714833, 'amenity': 'fast_food', 'osm_type': 'n'}}",,,,48.0,516626625bd07952c059b4bb4a60736e4440f00103f9019101965a0200000092031643686f70706564204368656573652026204772696c6c,-73.9033421,40.86289600037654,,,,,,,,,
Treatments,PC8628671,4,1993,Amsterdam Avenue,1993 Amsterdam Avenue,10032.0,40.833863679286,-73.94128389732,Bait applied,2026-03-03T11:07:52.000,Washington Heights (South),Blue mountain heights cafe and bar,United States,us,New York,New York County,New York,10032,Manhattan Community Board 12,Manhattan,West 158th Street,499,US-NY,-73.941173,40.8334517,NY,"Blue mountain heights cafe and bar, 499 West 158th Street, New York, NY 10032, United States of America",Blue mountain heights cafe and bar,"499 West 158th Street, New York, NY 10032, United States of America","['catering', 'catering.bar']","['details', 'details.catering']","{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': 'Blue mountain heights cafe and bar', 'osm_id': 11010933605, 'amenity': 'bar', 'cuisine': 'american;mexican', 'osm_type': 'n', 'addr:street': 'West 158th Street', 'addr:postcode': 10032, 'opening_hours': 'Mo-Su 08:00-23:00', 'addr:housenumber': 499}}",,,{'cuisine': 'american;mexican'},47.0,5136b8ad2d3c7c52c059f5f2998bae6a4440f00103f90165834d9002000000920322426c7565206d6f756e7461696e2068656967687473206361666520616e6420626172,-73.94117300000002,40.83345170037311,Mo-Su 08:00-23:00,,,,,,Washington Heights,,
Treatments,PC8628671,4,1993,Amsterdam Avenue,1993 Amsterdam Avenue,10032.0,40.833863679286,-73.94128389732,Bait applied,2026-03-03T11:07:52.000,Washington Heights (South),Patagonia Wine & Spirits,United States,us,New York,New York County,New York,10032,Manhattan Community Board 12,Manhattan,Amsterdam Avenue,2001,US-NY,-73.9408222,40.8341213,NY,"Patagonia Wine & Spirits, 2001 Amsterdam Avenue, New York, NY 10032, United States of America",Patagonia Wine & Spirits,"2001 Amsterdam Avenue, New York, NY 10032, United States of America","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.drinks']",['details'],"{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': 'Patagonia Wine & Spirits', 'shop': 'beverages', 'osm_id': 2603955353, 'website': 'http://patagoniawineandspirits.com/', 'osm_type': 'n', 'addr:city': 'New York', 'addr:state': 'NY', 'addr:street': 'Amsterdam Avenue', 'addr:country': 'US', 'addr:postcode': 10032, 'opening_hours': 'Mo-Sa 10:00-24:00; Su 12:00-21:00', 'addr:housenumber': 2001}}",http://patagoniawineandspirits.com/,,,48.0,517316516e367c52c059fbff9c7cc46a4440f00103f9019934359b0000000092031850617461676f6e69612057696e6520262053706972697473,-73.9408222,40.83412130037319,Mo-Sa 10:00-24:00; Su 12:00-21:00,,{'type': 'beverages'},,,,Washington Heights,,
